[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
UBdyRtnMin	deg	-70.1420
UBdyRtnRng	deg	214.0770
PlvBndMax	deg	27.4650
PlvBndMin	deg	1.1750
PlvBndRng	deg	26.2900
UBdyBndMax	deg	49.9340
UBdyBndMin	deg	-25.2200
UBdyBndRng	deg	75.1540
PlvSBndMax	deg	16.2180
PlvSBndMin	deg	-10.8240
PlvSBndRng	deg	27.0420
UBdySBndMax	deg	48.2620
UBdySBndMin	deg	-37.8720
UBdySBndRng	deg	86.1340
HdRtnMax	deg	109.5560
HdRtnMin	deg	-8.8850
HdRtnRng	deg	118.4410
HdBndMax	deg	44.0350
HdBndMin	deg	-12.9790
HdBndRng	deg	57.0140
HdSBndMax	deg	42.5550
HdSBndMin	deg	-5.0660
HdSBndRng	deg	47.6210
LdElbFlexMax	deg	174.9650
LdElbFlexMin	deg	50.2030
LdElbFlexRng	deg	124.7620
TrlElbFlexMax	deg	175.8750
TrlElbFlexMin	deg	68.1350
TrlElbFlexRng	deg	107.7400
LdWrstDevMax	deg	42.0900
LdWrstDevMin	deg	-25.4810
LdWrstDevRng	deg	67.5710
LdWrstFEMax	deg	1.2740
LdWrstFEMin	deg	-54.6350
LdWrstFERng	deg	55.9090
TrlWrstDevMax	deg	25.7620
TrlWrstDevMin	deg	-22.6740
TrlWrstDevRng	deg	48.4360
TrlWrstFEMax	deg	26.7170
TrlWrstFEMin	deg	-68.5250
TrlWrstFERng	deg	95.2420
LdFArmRotMax	deg	50.6880
LdFArmRotMin	deg	-31.6230
LdFArmRotRng	deg	82.3110
TrlFArmRotMax	deg	36.6920
TrlFArmRotMin	deg	-43.0870
TrlFArmRotRng	deg	79.7790
SpnRtSMax	deg	36.3390
SpnRtSMin	deg	-40.5620
SpnRtSRng	deg	76.9010
LdHpFlxMax	deg	38.1390
LdHpFlxMin	deg	11.7730
LdHpFlxRng	deg	26.3660
TrlHpFlxMax	deg	46.1830
TrlHpFlxMin	deg	-8.8190
TrlHpFlxRng	deg	55.0020
LdKnFlxMax	deg	42.9950
LdKnFlxMin	deg	7.3670
LdKnFlxRng	deg	35.6280
TrlKnFlxMax	deg	56.8630
TrlKnFlxMin	deg	18.3250
TrlKnFlxRng	deg	38.5380
LdAnkFlxMax	deg	19.3150
LdAnkFlxMin	deg	-2.4220
LdAnkFlxRng	deg	21.7370
TrlAnkFlxMax	deg	12.0960
TrlAnkFlxMin	deg	-43.8450
TrlAnkFlxRng	deg	55.9410
LdHpAdAbMax	deg	19.9030
LdHpAdAbMin	deg	-28.4480
LdHpAdAbRng	deg	48.3510
TrlHpAdAbMax	deg	5.8310
TrlHpAdAbMin	deg	-34.1080
TrlHpAdAbRng	deg	39.9390
LdAnkSPMax	deg	18.3090
LdAnkSPMin	deg	-6.1190
LdAnkSPRng	deg	24.4280
TrlAnkSPMax	deg	27.4180
TrlAnkSPMin	deg	1.1100
TrlAnkSPRng	deg	26.3080
LdHpIERotMax	deg	43.4650
LdHpIERotMin	deg	-33.5050
LdHpIERotRng	deg	76.9700
TrlHpIERotMax	deg	37.4330
TrlHpIERotMin	deg	-12.7990
TrlHpIERotRng	deg	50.2320
SpnAxisFwdTltBFMax	deg	36.3990
SpnAxisFwdTltBFMin	deg	11.8160
SpnAxisFwdTltBFRng	deg	24.5830
SpnAxisSideTltLTMax	deg	18.1320
SpnAxisSideTltLTMin	deg	-4.2230
SpnAxisSideTltLTRng	deg	22.3550
NeckFEMax	deg	6.7120
NeckFEMin	deg	-35.7350
NeckFERng	deg	42.4470
NeckSBMax	deg	22.3400
NeckSBMin	deg	-33.4040
NeckSBRng	deg	55.7440
NeckRtnMax	deg	64.3080
NeckRtnMin	deg	-60.6010
NeckRtnRng	deg	124.9090
LArmHtAngMax	deg	-5.1270
LArmHtAngMin	deg	-113.4500
LArmHtAngRng	deg	108.3230
LArmHorAdMax	deg	162.4780
LArmHorAdMin	deg	45.6440
LArmHorAdRng	deg	116.8340
LWrstAngMax	deg	165.3890
LWrstAngMin	deg	71.2520
LWrstAngRng	deg	94.1370
SpineFEJCSMax	deg	22.4930
SpineFEJCSMin	deg	-14.0050
SpineFEJCSRng	deg	36.4980
SpineSBJCSMax	deg	32.1490
SpineSBJCSMin	deg	-9.8490
SpineSBJCSRng	deg	41.9980
SpineRtnJCSMax	deg	38.7350
SpineRtnJCSMin	deg	-42.6250
SpineRtnJCSRng	deg	81.3600
ThxRtnJCSMax	deg	139.6850
ThxRtnJCSMin	deg	-74.3630
ThxRtnJCSRng	deg	214.0480
PlvRtnJCSMax	deg	104.5910
PlvRtnJCSMin	deg	-33.7910
PlvRtnJCSRng	deg	138.3820
HedRtnJCSMax	deg	108.9790
HedRtnJCSMin	deg	-10.1740
HedRtnJCSRng	deg	119.1530
SpnBndMax	deg	24.1290
SpnBndMin	deg	-31.4610
SpnBndRng	deg	55.5900
SpnSBndMax	deg	33.7480
SpnSBndMin	deg	-27.1470
SpnSBndRng	deg	60.8950
